DataType,Instrument,Field,Description,Type,Labels
QUANTITATIVE METADATA,Strength and Difficulties Questionnaire,participant_id,Participant ID,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Identifier,participant_id,Participant ID,str,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Edinburgh Handedness Questionnaire,EHQ_EHQ_Total,Laterality Index (Score),float,"-100 = 10th left
−28 ≤ LI < 48 = middle
100 = 10th right"
Quantitative,Ishihara Color Vision Test,ColorVision_CV_Score,Color vision test score,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Alabama Parenting Questionnaire - Parent Report,APQ_P_APQ_P_CP,Corporal Punishment Score,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Alabama Parenting Questionnaire - Parent Report,APQ_P_APQ_P_ID,Inconsistent Discipline Score,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Alabama Parenting Questionnaire - Parent Report,APQ_P_APQ_P_INV,Involvement Score,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Alabama Parenting Questionnaire - Parent Report,APQ_P_APQ_P_OPD,Other Discipline Practices Score (Not factored into total score but provides item level information),int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Alabama Parenting Questionnaire - Parent Report,APQ_P_APQ_P_PM,Poor Monitoring/Supervision Score,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
Quantitative,Alabama Parenting Questionnaire - Parent Report,APQ_P_APQ_P_PP,Positive Parenting Score,int,"0=Homemaker, stay at home parent.
5=Day laborer, janitor, house cleaner, farm worker, food counter sales, food preparation worker, busboy.
10=Garbage collector, short-order cook, cab driver, shoe sales, assembly line workers, masons, baggage porter.
15=Painter, skilled construction trade, sales clerk, truck driver, cook, sales counter or general office clerk.
20=Automobile mechanic, typist, locksmith, farmer, carpenter, receptionist, construction laborer, hairdresser.
25=Machinist, musician, bookkeeper, secretary, insurance sales, cabinet maker, personnel specialist, welder.
30=Supervisor, librarian, aircraft mechanic, artist and artisan, electrician, administrator, military enlisted personnel, buyer.
35=Nurse, skilled technician, medical technician, counselor, manager, police and fire personnel, financial manager, physical, occupational, speech therapist.
40=Mechanical, nuclear, and electrical engineer, educational administrator, veterinarian, military officer, elementary, high school and special education teacher.
45=Physician, attorney, professor, chemical and aerospace engineer, judge, CEO, senior manager, public official, psychologist, pharmacist, accountant."
